id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,average_amount_personal_contribution,size_category,control,degree_urbanization,state,size,total_enrollment,percent_women,percent_men,percent_native_american,percent_asian_pacific_islander,percent_asian,percent_pacific_islander,percent_african_american,percent_hispanic,percent_white,percent_race_ethnicity_unknown,percent_nonresident_alien,percent_multiracial,total_students,type,degree_granting,percent_under_18,percent_men_under_18,percent_women_under_18,percent_18_to_19,percent_men_18_to_19,percent_women_18_to_19,percent_20_to_21,percent_men_20_to_21,percent_women_20_to_21,percent_22_to_24,percent_men_22_to_24,percent_women_22_to_24,percent_25_to_29,percent_men_25_to_29,percent_women_25_to_29,percent_30_to_34,percent_men_30_to_34,percent_women_30_to_34,percent_35_to_39,percent_men_35_to_39,percent_women_35_to_39,percent_40_to_49,percent_men_40_to_49,percent_women_40_to_49,percent_50_to_64,percent_men_50_to_64,percent_women_50_to_64,percent_65_over,percent_men_65_over,percent_women_65_over,percent_age_unknown,percent_men_age_unknown,percent_women_age_unknown
474702,University of Phoenix-Knoxville,0,0,20140.5,20140.5,Under 1-000,Private for-profit,Midsize,Tennessee,999,57,65,35.0877193,0,2,0,2,12,2,63,16,0,5,57,for-profit,yes,1,0,1,3,1,1,14,1,12,29,17,12,17,3,14,19,8,10,3,0,3,8,1,7,1,0,1,-1,-1,-1,-1,-1,-1
417752,Messenger College,5140,4305,18854,9409,Under 1-000,Private not-for-profit,Small,Missouri,999,60,42,58.33333333,5,0,0,0,2,0,85,2,0,7,60,private,yes,-1,-1,-1,13,3,10,15,10,5,23,13,10,15,10,5,10,8,1,10,6,3,5,3,1,3,0,3,3,1,1,1,1,0
462363,ITT Technical Institute-Durham,0,0,25563.5,25563.5,Under 1-000,Private for-profit,Midsize,North Carolina,999,61,33,67.21311475,0,0,0,0,82,2,11,3,0,2,61,for-profit,yes,-1,-1,-1,9,6,3,11,6,4,6,6,0,32,24,8,18,11,6,6,3,3,14,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
123280,Shasta Bible College and Graduate School,4621,3500,25296,17175,Under 1-000,Private not-for-profit,Small,California,999,62,42,58.06451613,2,6,5,2,11,3,71,5,2,0,62,private,yes,-1,-1,-1,17,9,8,25,12,12,9,8,1,12,8,4,6,4,1,3,1,1,12,9,3,6,0,6,3,3,0,1,0,1
146621,Lexington College,11586,7135,36500,17779,Under 1-000,Private not-for-profit,Large,Illinois,999,64,100,0,2,2,2,0,19,36,38,2,0,3,64,private,yes,-1,-1,-1,26,0,26,26,0,26,17,0,17,9,0,9,3,0,3,1,0,1,4,0,4,4,0,4,-1,-1,-1,6,0,6
217040,Yeshivath Beth Moshe,6094,2625,13700,4981,Under 1-000,Private not-for-profit,Small,Pennsylvania,999,65,0,100,0,0,0,0,0,0,100,0,0,0,65,private,yes,-1,-1,-1,58,58,0,41,41,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
457697,City Vision College,1923,0,1923,0,Under 1-000,Private not-for-profit,Large,Missouri,999,67,66,34.32835821,3,0,0,0,37,4,51,4,0,0,67,private,yes,2,1,1,-1,-1,-1,-1,-1,-1,14,10,4,13,4,8,7,2,4,7,1,5,22,5,16,31,7,23,-1,-1,-1,-1,-1,-1
455770,Providence Christian College,18742,5723,32382.66667,7917.666667,Under 1-000,Private not-for-profit,Midsize,California,999,71,62,38.02816901,0,1,1,0,0,8,52,25,10,3,71,private,yes,-1,-1,-1,38,11,26,42,9,32,9,8,1,2,1,1,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,4,0
366003,South Florida Bible College and Theological Seminary,3744,9525,12811,-458,Under 1-000,Private not-for-profit,Small,Florida,999,71,41,59.15492958,0,0,0,0,54,3,35,0,8,0,71,private,yes,-1,-1,-1,1,0,1,5,2,2,7,2,4,15,14,1,16,8,8,9,7,2,14,7,7,21,14,7,2,0,2,5,2,2
199971,Carolina Christian College,6446,5688,11863,-271,Under 1-000,Private not-for-profit,Midsize,North Carolina,999,72,60,40.27777778,0,0,0,0,92,3,6,0,0,0,72,private,yes,1,1,0,-1,-1,-1,-1,-1,-1,1,1,0,2,1,1,11,4,6,8,6,1,30,13,16,40,11,29,1,0,1,2,0,2
448521,University of Phoenix-Omaha Campus,4885,9056,20130.5,6189.5,Under 1-000,Private for-profit,Large,Nebraska,999,79,52,48.10126582,1,0,0,0,14,5,41,33,4,3,79,for-profit,yes,1,0,1,-1,-1,-1,5,3,1,11,3,7,27,16,11,16,7,8,10,2,7,25,12,12,2,1,1,-1,-1,-1,-1,-1,-1
461032,Carolina Bible College,0,0,11297.5,11297.5,Under 1-000,Private not-for-profit,Midsize,North Carolina,999,88,51,48.86363636,1,0,0,0,60,3,35,0,0,0,88,private,yes,-1,-1,-1,1,1,0,4,3,1,5,2,3,9,5,3,9,5,3,5,2,3,28,18,10,31,7,23,3,2,1,1,0,1
149329,Telshe Yeshiva-Chicago,9321,0,20730,11409,Under 1-000,Private not-for-profit,Large,Illinois,999,89,0,100,0,0,0,0,0,0,97,0,3,0,89,private,yes,3,3,0,46,46,0,26,26,0,4,4,0,11,11,0,3,3,0,3,3,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
197601,Yeshiva Karlin Stolin,6804,0,17266.66667,10462.66667,Under 1-000,Private not-for-profit,Large,New York,999,89,0,100,0,0,0,0,0,0,100,0,0,0,89,private,yes,39,39,0,35,35,0,24,24,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
