id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
102669,Alaska Pacific University,100,98,8702,36,2747,36,2433,24,457,2,1000,98,7680,67,4200,67,3200,11,6001
103723,Collins College,98,84,4965,79,5041,79,4561,17,2266,0,,16,1282,94,7869,94,7775,2,4911
104151,Arizona State University,89,83,9573,35,4711,35,4296,15,1097,1,1736,79,7921,44,5658,44,5071,2,12920
104179,University of Arizona,83,74,9156,33,4922,32,4375,25,741,4,3768,71,7071,38,5839,38,5839,0,
104188,Southwest University of Visual Arts-Tucson,100,74,4418,74,3054,68,3231,5,750,11,1000,63,1425,74,4400,58,3642,16,7180
104531,DeVry University-Arizona,98,97,5927,80,4763,80,4298,32,1150,0,1000,91,2129,88,8516,88,8382,2,7509
104586,Embry-Riddle Aeronautical University-Prescott,97,94,9904,29,4669,29,4276,16,721,1,1047,92,8683,69,8704,68,5419,10,23017
104717,Grand Canyon University,96,93,13219,48,5133,48,4504,29,1069,0,2422,85,11556,65,6866,64,6551,2,10884
105330,Northern Arizona University,85,69,9828,37,5424,37,4555,30,1124,6,2366,64,7204,59,5618,59,5348,2,8434
105589,Prescott College,95,91,11795,36,4708,34,4427,12,1333,1,700,89,10089,82,7662,82,6869,5,12287
105899,Arizona Christian University,99,95,8021,45,4336,39,3900,20,2000,1,1000,95,5963,73,6203,73,6203,0,
106102,Western International University,90,83,4631,71,5074,71,4724,19,1311,0,,62,380,80,9369,80,9369,0,
106245,University of Arkansas at Little Rock,95,92,9854,54,4780,54,4344,30,784,71,4610,43,7603,41,4101,40,4081,0,5065
106306,Arkansas Baptist College,88,82,5172,75,4719,75,4658,6,768,15,3030,7,3001,80,5974,80,5974,0,
106397,University of Arkansas,84,72,8045,24,4806,24,3948,18,1111,56,5093,36,4934,38,5654,38,5225,2,9068
106412,University of Arkansas at Pine Bluff,98,94,7948,82,5598,82,5042,51,899,28,3786,36,4963,80,5219,80,5193,1,4117
106458,Arkansas State University-Main Campus,93,89,9209,51,4983,51,4390,33,900,68,4711,47,5275,50,5127,50,5018,1,6368
107600,Philander Smith College,100,100,7640,69,4801,69,4684,13,627,12,4386,51,7477,71,6559,71,6559,0,
108232,Academy of Art University,60,40,5642,36,4361,36,3991,20,677,5,5383,9,4318,55,7024,55,5754,3,21911
109651,Art Center College of Design,74,66,16678,38,6148,38,5141,31,1247,14,7909,55,13970,54,8110,54,6907,2,29667
110060,Bethesda University of California,75,75,2741,47,4085,47,4085,0,,0,,28,500,25,5378,25,5378,0,
110185,Brooks Institute,70,43,5038,43,4020,43,3726,24,519,6,4562,9,1950,70,6659,70,5999,4,12550
110316,California Institute of Integral Studies,100,70,5203,47,5614,47,4931,47,683,3,1550,70,1354,100,12079,100,11999,1,7000
110361,California Baptist University,97,50,16447,45,4636,45,4148,24,901,36,6942,50,7334,78,7716,77,5622,12,13503
110370,California College of the Arts,87,87,16972,35,5231,35,4370,22,1395,14,5683,87,13900,57,6723,57,6040,3,14780
110404,California Institute of Technology,74,58,27007,10,6434,9,3828,6,4643,14,2294,51,28695,26,3532,23,3723,4,2340
110413,California Lutheran University,98,97,17763,30,5043,30,4221,24,1042,24,9196,97,13930,69,6369,69,5691,4,12411
110486,California State University-Bakersfield,83,73,9682,64,5227,64,4583,52,808,49,2325,56,4636,34,4433,34,4370,0,7248
