id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,size_category,control,degree_urbanization,state
115773,Humphreys College-Stockton and Modesto Campuses,5513,6313,21829.5,1-000 - 4-999,Private not-for-profit,Large,California
116846,American Jewish University,10379,5667,40743.33333,Under 1-000,Private not-for-profit,Large,California
117113,The Art Institute of California-San Diego,6474,8047,31654,1-000 - 4-999,Private for-profit,Large,California
117557,Lincoln University,5610,6700,15550,Under 1-000,Private not-for-profit,Large,California
117627,La Sierra University,14203,6161,39509,1-000 - 4-999,Private not-for-profit,Large,California
117928,The Art Institute of California-San Francisco,6192,8505,32681,1-000 - 4-999,Private for-profit,Large,California
117946,Loyola Marymount University,19447,7187,51122.66667,5-000 - 9-999,Private not-for-profit,Large,California
118888,Mills College,25400,6167,50812.66667,1-000 - 4-999,Private not-for-profit,Large,California
119173,Mount St. Mary's College,19104,9206,44144,1-000 - 4-999,Private not-for-profit,Large,California
119544,The National Hispanic University,5976,4273,20246,Under 1-000,Private for-profit,Large,California
119775,Newschool of Architecture and Design,9534,7158,38333,Under 1-000,Private for-profit,Large,California
120254,Occidental College,27845,6188,53262.66667,1-000 - 4-999,Private not-for-profit,Large,California
120403,Otis College of Art and Design,13600,7093,47770.66667,1-000 - 4-999,Private not-for-profit,Large,California
120537,Hope International University,14015,6103,37856,1-000 - 4-999,Private not-for-profit,Midsize,California
120838,Pacific States University,0,0,28860,Under 1-000,Private not-for-profit,Large,California
120883,University of the Pacific,20377,6896,49243,5-000 - 9-999,Private not-for-profit,Large,California
121071,Patten University,7034,6581,23889.33333,Under 1-000,Private not-for-profit,Large,California
121309,Point Loma Nazarene University,12677,6775,40300.33333,1-000 - 4-999,Private not-for-profit,Large,California
121381,Westwood College-South Bay,7777,12371,29961.5,Under 1-000,Private for-profit,Large,California
121691,University of Redlands,25611,6757,50129.33333,1-000 - 4-999,Private not-for-profit,Small,California
122409,San Diego State University,9418,5494,23575.66667,20-000 and above,Public,Large,California
122436,University of San Diego,20671,7038,51556.33333,5-000 - 9-999,Private not-for-profit,Large,California
122454,San Francisco Art Institute,13402,5658,49044.33333,Under 1-000,Private not-for-profit,Large,California
122506,San Francisco Conservatory of Music,19185,6765,45250,Under 1-000,Private not-for-profit,Large,California
122597,San Francisco State University,9498,5272,24206,20-000 and above,Public,Large,California
122612,University of San Francisco,23694,7170,50540.66667,5-000 - 9-999,Private not-for-profit,Large,California
122755,San Jose State University,9863,4878,27391,20-000 and above,Public,Large,California
122843,Westwood College-Los Angeles,5925,5208,29432.5,1-000 - 4-999,Private for-profit,Large,California
122931,Santa Clara University,19396,6471,52104,5-000 - 9-999,Private not-for-profit,Midsize,California
123280,Shasta Bible College and Graduate School,4621,3500,25296,Under 1-000,Private not-for-profit,Small,California
123651,Vanguard University of Southern California,17557,7690,40717,1-000 - 4-999,Private not-for-profit,Midsize,California
123952,Southern California Institute of Architecture,22067,3500,42244.5,Under 1-000,Private not-for-profit,Large,California
123961,University of Southern California,27941,6127,54536.66667,20-000 and above,Private not-for-profit,Large,California
125231,Walden University,3740,7091,24260,20-000 and above,Private for-profit,Large,Minnesota
125897,Woodbury University,17405,4559,42624.66667,1-000 - 4-999,Private not-for-profit,Large,California
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,14256,0,23000,Under 1-000,Private not-for-profit,Large,California
126562,University of Colorado Denver,6382,5576,26166,20-000 and above,Public,Large,Colorado
126580,University of Colorado-Colorado Springs,4671,5230,22097.33333,10-000 - 19-999,Public,Large,Colorado
126614,University of Colorado Boulder,8971,7025,34295.33333,20-000 and above,Public,Small,Colorado
126678,Colorado College,28432,4808,47167,1-000 - 4-999,Private not-for-profit,Large,Colorado
126702,The Art Institute of Colorado,4614,9961,30681,1-000 - 4-999,Private for-profit,Large,Colorado
126818,Colorado State University-Fort Collins,6406,5851,22474.66667,20-000 and above,Public,Midsize,Colorado
126827,Colorado Technical University-Colorado Springs,4158,7078,19197,1-000 - 4-999,Private for-profit,Large,Colorado
127060,University of Denver,18915,6660,48477,10-000 - 19-999,Private not-for-profit,Large,Colorado
127556,Colorado Mesa University,4418,8614,20575.66667,5-000 - 9-999,Public,Small,Colorado
127565,Metropolitan State College of Denver,4940,5299,19072.16667,20-000 and above,Public,Large,Colorado
127653,Naropa University,15756,6556,38054.33333,1-000 - 4-999,Private not-for-profit,Small,Colorado
127680,National American University-Colorado Springs,3860,6586,21699.5,Under 1-000,Private for-profit,Large,Colorado
127714,Nazarene Bible College,3767,4901,20075,Under 1-000,Private not-for-profit,Large,Colorado
127741,University of Northern Colorado,5564,5712,20495,10-000 - 19-999,Public,Small,Colorado
127918,Regis University,16453,6962,41961,10-000 - 19-999,Private not-for-profit,Large,Colorado
128106,Colorado State University-Pueblo,5745,6857,18814,5-000 - 9-999,Public,Midsize,Colorado
128425,Yeshiva Toras Chaim Talmudical Seminary,10334,0,18375.33333,Under 1-000,Private not-for-profit,Large,Colorado
128498,Albertus Magnus College,17149,7153,40309.33333,1-000 - 4-999,Private not-for-profit,Midsize,Connecticut
128744,University of Bridgeport,18780,8151,42339.66667,1-000 - 4-999,Private not-for-profit,Midsize,Connecticut
128902,Connecticut College,31601,5762,57270,1-000 - 4-999,Private not-for-profit,Small,Connecticut
129525,University of Hartford,15999,9339,40457.33333,5-000 - 9-999,Private not-for-profit,Midsize,Connecticut
129774,Mitchell College,14899,6797,41412.66667,Under 1-000,Private not-for-profit,Small,Connecticut
130314,Saint Joseph College,16952,6666,40730,1-000 - 4-999,Private not-for-profit,Small,Connecticut
130493,Southern Connecticut State University,7060,6178,20598,10-000 - 19-999,Public,Midsize,Connecticut
130590,Trinity College,37088,4921,57575,1-000 - 4-999,Private not-for-profit,Midsize,Connecticut
130697,Wesleyan University,34487,4552,58371,1-000 - 4-999,Private not-for-profit,Small,Connecticut
130776,Western Connecticut State University,4977,6443,22451.33333,5-000 - 9-999,Public,Small,Connecticut
130794,Yale University,36366,5803,58250,10-000 - 19-999,Private not-for-profit,Midsize,Connecticut
130934,Delaware State University,7222,7433,23228.66667,1-000 - 4-999,Public,Small,Delaware
131098,Wesley College,3312,8628,32491.66667,1-000 - 4-999,Private not-for-profit,Small,Delaware
131159,American University,20525,8184,49337,10-000 - 19-999,Private not-for-profit,Large,District of Columbia
131283,Catholic University of America,15348,7749,53184,5-000 - 9-999,Private not-for-profit,Large,District of Columbia
131308,Corcoran College of Art and Design,16586,11515,43463.33333,Under 1-000,Private not-for-profit,Large,District of Columbia
131399,University of the District of Columbia,2876,2620,21116.33333,1-000 - 4-999,Public,Large,District of Columbia
131450,Gallaudet University,16449,5071,24471.66667,1-000 - 4-999,Private not-for-profit,Large,District of Columbia
131469,George Washington University,27832,6675,57148,20-000 and above,Private not-for-profit,Large,District of Columbia
131496,Georgetown University,29964,5247,58125,10-000 - 19-999,Private not-for-profit,Large,District of Columbia
131520,Howard University,13356,7361,39237,10-000 - 19-999,Private not-for-profit,Large,District of Columbia
131803,Strayer University-District of Columbia,1923,7521,25915.5,1-000 - 4-999,Private for-profit,Large,District of Columbia
131876,Trinity Washington University,14172,6334,31105,1-000 - 4-999,Private not-for-profit,Large,District of Columbia
132602,Bethune-Cookman University,9655,6587,27030,1-000 - 4-999,Private not-for-profit,Small,Florida
132657,Lynn University,12667,6162,47650,1-000 - 4-999,Private not-for-profit,Small,Florida
133085,Clearwater Christian College,9297,5731,28438.33333,Under 1-000,Private not-for-profit,Midsize,Florida
133492,Eckerd College,17752,6896,45080.66667,1-000 - 4-999,Private not-for-profit,Midsize,Florida
133526,Edward Waters College,9121,6019,22750,Under 1-000,Private not-for-profit,Large,Florida
133553,Embry-Riddle Aeronautical University-Daytona Beach,9386,8863,44352,5-000 - 9-999,Private not-for-profit,Small,Florida
133650,Florida Agricultural and Mechanical University,6657,5856,19628,10-000 - 19-999,Public,Midsize,Florida
133669,Florida Atlantic University,6260,6451,20169.66667,20-000 and above,Public,Small,Florida
133872,Florida Hospital College of Health Sciences,6593,6180,22584.66667,1-000 - 4-999,Private not-for-profit,Midsize,Florida
133881,Florida Institute of Technology,18766,7646,51010,5-000 - 9-999,Private not-for-profit,Small,Florida
134079,Florida Southern College,16073,11150,34464,1-000 - 4-999,Private not-for-profit,Small,Florida
134097,Florida State University,5506,6765,22276.66667,20-000 and above,Public,Midsize,Florida
134130,University of Florida,6497,4984,23749.33333,20-000 and above,Public,Midsize,Florida
134811,AI Miami International University of Art and Design,5578,7988,30675,1-000 - 4-999,Private for-profit,Large,Florida
134945,Jacksonville University,19418,11520,38429.33333,1-000 - 4-999,Private not-for-profit,Large,Florida
135063,Jones College-Jacksonville,6785,6809,13226.5,Under 1-000,Private not-for-profit,Large,Florida
136172,University of North Florida,6082,5124,20778.33333,10-000 - 19-999,Public,Large,Florida
136206,Northwood University-Florida,12491,6430,30039.33333,Under 1-000,Private not-for-profit,Small,Florida
136330,Palm Beach Atlantic University-West Palm Beach,14232,6380,34518.66667,1-000 - 4-999,Private not-for-profit,Small,Florida
136774,Ringling College of Art and Design,8760,8508,48340,1-000 - 4-999,Private not-for-profit,Small,Florida
137351,University of South Florida-Main Campus,7286,6620,23653.33333,20-000 and above,Public,Large,Florida
137564,Southeastern University,9657,10701,26324.66667,1-000 - 4-999,Private not-for-profit,Small,Florida
137777,Talmudic College of Florida,13406,4440,22566.66667,Under 1-000,Private not-for-profit,Small,Florida
137847,The University of Tampa,10146,6755,32852.66667,5-000 - 9-999,Private not-for-profit,Large,Florida
137953,Trinity Baptist College,6261,4329,16650,Under 1-000,Private not-for-profit,Large,Florida
138354,The University of West Florida,5383,4949,18785.33333,10-000 - 19-999,Public,Small,Florida
138716,Albany State University,7064,6207,20622.66667,1-000 - 4-999,Public,Small,Georgia
138789,Armstrong Atlantic State University,6834,5202,21772.33333,5-000 - 9-999,Public,Midsize,Georgia
138813,The Art Institute of Atlanta,6407,7688,31406,1-000 - 4-999,Private for-profit,Small,Georgia
138947,Clark Atlanta University,7297,7704,33862,1-000 - 4-999,Private not-for-profit,Large,Georgia
138983,Augusta State University,5730,6014,19894,5-000 - 9-999,Public,Midsize,Georgia
139153,Beulah Heights University,7143,9000,13340,Under 1-000,Private not-for-profit,Large,Georgia
139199,Brenau University,17577,4359,31079.33333,1-000 - 4-999,Private not-for-profit,Small,Georgia
139366,Columbus State University,6827,5709,20545.66667,5-000 - 9-999,Public,Midsize,Georgia
139579,South University-Savannah,5898,7895,27974,1-000 - 4-999,Private for-profit,Midsize,Georgia
139755,Georgia Institute of Technology-Main Campus,10946,6502,24925.33333,20-000 and above,Public,Large,Georgia
139940,Georgia State University,10304,5312,26994.33333,20-000 and above,Public,Large,Georgia
139959,University of Georgia,10399,5269,24298.66667,20-000 and above,Public,Midsize,Georgia
140252,Life University,5477,6568,24485,1-000 - 4-999,Private not-for-profit,Small,Georgia
140340,Herzing University-Atlanta,6564,10645,23878.5,Under 1-000,Private for-profit,Large,Georgia
140447,Mercer University,25499,7153,42337.66667,5-000 - 9-999,Private not-for-profit,Small,Georgia
140553,Morehouse College,17864,7345,43601,1-000 - 4-999,Private not-for-profit,Large,Georgia
140720,Paine College,6604,6540,20298.66667,Under 1-000,Private not-for-profit,Midsize,Georgia
140951,Savannah College of Art and Design,11793,9910,43380,10-000 - 19-999,Private not-for-profit,Midsize,Georgia
140960,Savannah State University,7017,6229,18413.66667,1-000 - 4-999,Public,Midsize,Georgia
140988,Shorter University,13579,5879,29630,1-000 - 4-999,Private not-for-profit,Small,Georgia
141060,Spelman College,10326,7322,40540,1-000 - 4-999,Private not-for-profit,Large,Georgia
141097,Southern Polytechnic State University,7167,5341,20339.33333,5-000 - 9-999,Public,Small,Georgia
141264,Valdosta State University,7331,5835,23386.66667,10-000 - 19-999,Public,Small,Georgia
141325,Wesleyan College,14999,5939,24866.66667,Under 1-000,Private not-for-profit,Small,Georgia
141486,Chaminade University of Honolulu,10658,6418,29464.66667,1-000 - 4-999,Private not-for-profit,Large,Hawaii
141574,University of Hawaii at Manoa,5951,5492,24270.66667,20-000 and above,Public,Large,Hawaii
141644,Hawaii Pacific University,7587,6706,27953.33333,5-000 - 9-999,Private not-for-profit,Large,Hawaii
142115,Boise State University,5075,6540,19682,10-000 - 19-999,Public,Midsize,Idaho
142276,Idaho State University,5011,6242,20467.33333,10-000 - 19-999,Public,Small,Idaho
142328,Lewis-Clark State College,5654,5174,19577.33333,1-000 - 4-999,Public,Small,Idaho
142461,Northwest Nazarene University,12856,6658,31665,1-000 - 4-999,Private not-for-profit,Small,Idaho
142887,American Academy of Art,6557,8924,33747,Under 1-000,Private for-profit,Large,Illinois
143048,School of the Art Institute of Chicago,11416,8111,50673.33333,1-000 - 4-999,Private not-for-profit,Large,Illinois
143084,Augustana College,20776,6707,44029,1-000 - 4-999,Private not-for-profit,Small,Illinois
143358,Bradley University,13780,5743,38230,5-000 - 9-999,Private not-for-profit,Midsize,Illinois
144005,Chicago State University,8418,6045,23043.33333,5-000 - 9-999,Public,Large,Illinois
144050,University of Chicago,27666,6401,59950,10-000 - 19-999,Private not-for-profit,Large,Illinois
144281,Columbia College-Chicago,9165,7501,33790.33333,10-000 - 19-999,Private not-for-profit,Large,Illinois
144740,DePaul University,17868,6250,42439.66667,20-000 and above,Private not-for-profit,Large,Illinois
144759,DeVry University-Illinois,5801,8473,27297.5,20-000 and above,Private for-profit,Large,Illinois
145460,Harrington College of Design,4077,7017,30156,Under 1-000,Private for-profit,Large,Illinois
145497,Hebrew Theological College,5649,4705,31496,Under 1-000,Private not-for-profit,Small,Illinois
145600,University of Illinois at Chicago,13464,6201,29339.33333,20-000 and above,Public,Large,Illinois
145637,University of Illinois at Urbana-Champaign,11274,6319,32342,20-000 and above,Public,Small,Illinois
145646,Illinois Wesleyan University,17668,7032,46728,1-000 - 4-999,Private not-for-profit,Small,Illinois
145725,Illinois Institute of Technology,25018,6210,45713,5-000 - 9-999,Private not-for-profit,Large,Illinois
145770,Argosy University-Chicago,4899,7370,22633,1-000 - 4-999,Private for-profit,Large,Illinois
145813,Illinois State University,10510,6404,27136,20-000 and above,Public,Small,Illinois
146010,International Academy of Design and Technology-Chicago,4782,6922,23486,Under 1-000,Private for-profit,Large,Illinois
146339,Judson University,15083,8538,35876.66667,1-000 - 4-999,Private not-for-profit,Midsize,Illinois
