id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,size_category,control,degree_urbanization,state
159948,New Orleans Baptist Theological Seminary,757,5700,11274,1-000 - 4-999,Private not-for-profit,Large,Louisiana
159966,Nicholls State University,6388,4647,17274,5-000 - 9-999,Public,Small,Louisiana
159993,University of Louisiana-Monroe,6348,2714,18031.66667,5-000 - 9-999,Public,Small,Louisiana
160065,Our Lady of Holy Cross College,5742,5698,25013.5,1-000 - 4-999,Private not-for-profit,Large,Louisiana
160621,Southern University and A & M College,5341,5017,19059.33333,5-000 - 9-999,Public,Midsize,Louisiana
160630,Southern University at New Orleans,5570,5936,13877.66667,1-000 - 4-999,Public,Large,Louisiana
160658,University of Louisiana at Lafayette,5545,4643,16948,10-000 - 19-999,Public,Midsize,Louisiana
160755,Tulane University of Louisiana,25005,8111,56484,10-000 - 19-999,Private not-for-profit,Large,Louisiana
160904,Xavier University of Louisiana,7384,5846,26181,1-000 - 4-999,Private not-for-profit,Large,Louisiana
160977,Bates College,33948,5926,57350,1-000 - 4-999,Private not-for-profit,Small,Maine
161165,Husson University,8290,7194,21341.66667,1-000 - 4-999,Private not-for-profit,Small,Maine
161457,University of New England,15235,10396,42490,5-000 - 9-999,Private not-for-profit,Small,Maine
161509,Maine College of Art,14135,7093,39291.66667,Under 1-000,Private not-for-profit,Small,Maine
161554,University of Southern Maine,5730,10119,25028,5-000 - 9-999,Public,Small,Maine
161873,University of Baltimore,5147,5841,29250,5-000 - 9-999,Public,Large,Maryland
162283,Coppin State University,7284,6660,16630.66667,1-000 - 4-999,Public,Large,Maryland
162654,Goucher College,19597,7184,44309,1-000 - 4-999,Private not-for-profit,Small,Maryland
162760,Hood College,20198,9938,41310,1-000 - 4-999,Private not-for-profit,Small,Maryland
162928,Johns Hopkins University,29595,5809,57442,20-000 and above,Private not-for-profit,Large,Maryland
163046,Loyola University Maryland,24340,7642,50630,5-000 - 9-999,Private not-for-profit,Large,Maryland
163295,Maryland Institute College of Art,14225,7835,46853.33333,1-000 - 4-999,Private not-for-profit,Large,Maryland
163453,Morgan State University,7407,6829,21431.66667,5-000 - 9-999,Public,Large,Maryland
163578,Notre Dame of Maryland University,19642,7039,38470,1-000 - 4-999,Private not-for-profit,Large,Maryland
163921,Sojourner-Douglass College,6772,4969,20670,1-000 - 4-999,Private not-for-profit,Large,Maryland
164076,Towson University,7602,6421,22534.66667,20-000 and above,Public,Small,Maryland
164438,New England College of Business and Finance,1770,11975,12275,1-000 - 4-999,Private for-profit,Large,Massachusetts
164447,American International College,20157,7262,36560.66667,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
164562,Assumption College,17747,6976,42335,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
164614,Boston Baptist College,5022,6378,28345.66667,Under 1-000,Private not-for-profit,Large,Massachusetts
164720,Becker College,14703,8046,39230,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
164739,Bentley University,23031,6829,50164.66667,5-000 - 9-999,Private not-for-profit,Small,Massachusetts
164748,Berklee College of Music,13175,12046,49514.33333,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
164872,Boston Architectural College,5826,8483,30127,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
164924,Boston College,30844,4292,51812,10-000 - 19-999,Private not-for-profit,Small,Massachusetts
164933,The Boston Conservatory,16277,11335,53743.33333,Under 1-000,Private not-for-profit,Large,Massachusetts
164988,Boston University,24937,9652,56842,20-000 and above,Private not-for-profit,Large,Massachusetts
165015,Brandeis University,27680,6093,53036,5-000 - 9-999,Private not-for-profit,Small,Massachusetts
165167,Cambridge College,4722,6023,24940,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
165334,Clark University,21060,6080,43900,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
165644,Eastern Nazarene College,14828,6881,33766.66667,1-000 - 4-999,Private not-for-profit,Small,Massachusetts
165662,Emerson College,18143,8597,48533,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
165671,Emmanuel College,17990,8178,44388,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
165866,Framingham State University,4370,6276,21053.33333,5-000 - 9-999,Public,Small,Massachusetts
166027,Harvard University,35673,4857,56000,20-000 and above,Private not-for-profit,Midsize,Massachusetts
166124,College of the Holy Cross,29654,6722,54358,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
166391,Lasell College,15351,8551,39600,1-000 - 4-999,Private not-for-profit,Small,Massachusetts
166452,Lesley University,14446,7543,40980,5-000 - 9-999,Private not-for-profit,Midsize,Massachusetts
166638,University of Massachusetts-Boston,7595,5272,23578.66667,10-000 - 19-999,Public,Large,Massachusetts
166656,Massachusetts College of Pharmacy and Health Sciences,11965,14233,38637,5-000 - 9-999,Private not-for-profit,Large,Massachusetts
166674,Massachusetts College of Art and Design,7685,6554,28166.66667,1-000 - 4-999,Public,Large,Massachusetts
166683,Massachusetts Institute of Technology,32550,5561,55270,10-000 - 19-999,Private not-for-profit,Midsize,Massachusetts
166948,Mount Ida College,12465,9487,36635.66667,1-000 - 4-999,Private not-for-profit,Small,Massachusetts
166984,School of the Museum of Fine Arts-Boston,13117,7233,47298,Under 1-000,Private not-for-profit,Large,Massachusetts
167057,The New England Conservatory of Music,17865,9252,52120,Under 1-000,Private not-for-profit,Large,Massachusetts
167358,Northeastern University,19302,6380,50308.66667,20-000 and above,Private not-for-profit,Large,Massachusetts
167677,Saint John's Seminary,20000,,20616.66667,Under 1-000,Private not-for-profit,Large,Massachusetts
167783,Simmons College,16054,9969,46160,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
167899,Springfield College,14506,8189,45400,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
168005,Suffolk University,15613,7007,44620,5-000 - 9-999,Private not-for-profit,Large,Massachusetts
168227,Wentworth Institute of Technology,9662,5322,40480.33333,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
168254,Western New England University,15456,8634,41561.33333,1-000 - 4-999,Private not-for-profit,Midsize,Massachusetts
168290,Wheelock College,16635,9808,41421.66667,1-000 - 4-999,Private not-for-profit,Large,Massachusetts
168421,Worcester Polytechnic Institute,17843,11062,50554.66667,5-000 - 9-999,Private not-for-profit,Midsize,Massachusetts
168430,Worcester State University,4612,6193,18913,5-000 - 9-999,Public,Midsize,Massachusetts
168786,Aquinas College,16562,6419,29984,1-000 - 4-999,Private not-for-profit,Midsize,Michigan
169080,Calvin College,12151,7282,35253.33333,1-000 - 4-999,Private not-for-profit,Midsize,Michigan
169327,Cleary University,4116,3647,23922,Under 1-000,Private not-for-profit,Midsize,Michigan
169363,Concordia University-Ann Arbor,16290,6608,28764,Under 1-000,Private not-for-profit,Midsize,Michigan
169442,College for Creative Studies,12732,8757,44418.33333,1-000 - 4-999,Private not-for-profit,Large,Michigan
169716,University of Detroit Mercy,22264,7233,45902,5-000 - 9-999,Private not-for-profit,Large,Michigan
169983,Kettering University,14999,9086,45315,1-000 - 4-999,Private not-for-profit,Midsize,Michigan
170000,Grace Bible College,7294,6874,18555.33333,Under 1-000,Private not-for-profit,Small,Michigan
170037,Cornerstone University,14084,8041,31076,1-000 - 4-999,Private not-for-profit,Midsize,Michigan
170301,Hope College,13300,7255,33253.33333,1-000 - 4-999,Private not-for-profit,Small,Michigan
170532,Kalamazoo College,18641,6156,46732,1-000 - 4-999,Private not-for-profit,Small,Michigan
170675,Lawrence Technological University,12586,7286,37077.33333,1-000 - 4-999,Private not-for-profit,Small,Michigan
170806,Madonna University,7311,6076,23240,1-000 - 4-999,Private not-for-profit,Small,Michigan
170842,Marygrove College,12091,9215,26713.33333,1-000 - 4-999,Private not-for-profit,Large,Michigan
170976,University of Michigan-Ann Arbor,12800,6502,31103.33333,20-000 and above,Public,Midsize,Michigan
171137,University of Michigan-Dearborn,6797,5231,21203.66667,5-000 - 9-999,Public,Small,Michigan
171146,University of Michigan-Flint,5987,5859,20742,5-000 - 9-999,Public,Midsize,Michigan
172033,Sacred Heart Major Seminary,10201,1742,26847.33333,Under 1-000,Private not-for-profit,Large,Michigan
172644,Wayne State University,7593,5975,24216.66667,20-000 and above,Public,Large,Michigan
172699,Western Michigan University,6933,7150,23950.66667,20-000 and above,Public,Small,Michigan
173045,Augsburg College,18125,7219,38605.33333,1-000 - 4-999,Private not-for-profit,Large,Minnesota
173328,Concordia University-Saint Paul,16649,7292,36958.66667,1-000 - 4-999,Private not-for-profit,Large,Minnesota
173665,Hamline University,19539,7450,39863.33333,1-000 - 4-999,Private not-for-profit,Large,Minnesota
173887,The Art Institutes International-Minnesota,5555,10262,30024,1-000 - 4-999,Private for-profit,Large,Minnesota
173902,Macalester College,28608,5730,53315,1-000 - 4-999,Private not-for-profit,Large,Minnesota
174020,Metropolitan State University,4731,4770,22347.33333,5-000 - 9-999,Public,Large,Minnesota
174066,University of Minnesota-Twin Cities,5644,6595,23105.33333,20-000 and above,Public,Large,Minnesota
174127,Minneapolis College of Art and Design,12680,6635,40319.33333,Under 1-000,Private not-for-profit,Large,Minnesota
174206,Crossroads College,7754,7319,24586.66667,Under 1-000,Private not-for-profit,Midsize,Minnesota
174233,University of Minnesota-Duluth,5131,6938,21412,10-000 - 19-999,Public,Small,Minnesota
174437,North Central University,6925,7611,26060.66667,1-000 - 4-999,Private not-for-profit,Large,Minnesota
174507,Northwestern Health Sciences University,6010,13836,19825,Under 1-000,Private not-for-profit,Small,Minnesota
174783,Saint Cloud State University,5091,7203,18308.33333,10-000 - 19-999,Public,Small,Minnesota
174899,The College of Saint Scholastica,16218,9864,40136,1-000 - 4-999,Private not-for-profit,Small,Minnesota
174914,University of St Thomas,16486,8822,43724,10-000 - 19-999,Private not-for-profit,Large,Minnesota
174932,College of Visual Arts,10097,7811,33777,Under 1-000,Private not-for-profit,Large,Minnesota
175005,St Catherine University,18846,6978,41224.66667,5-000 - 9-999,Private not-for-profit,Large,Minnesota
175421,Belhaven University,12707,6174,32335,1-000 - 4-999,Private not-for-profit,Midsize,Mississippi
175856,Jackson State University,8324,8327,19245.33333,5-000 - 9-999,Public,Midsize,Mississippi
175980,Millsaps College,21408,5940,39185.33333,Under 1-000,Private not-for-profit,Midsize,Mississippi
176372,University of Southern Mississippi,7367,7364,20255.33333,10-000 - 19-999,Public,Small,Mississippi
176406,Tougaloo College,11170,6167,18461.33333,Under 1-000,Private not-for-profit,Midsize,Mississippi
176479,William Carey University,9800,4330,22282,1-000 - 4-999,Private not-for-profit,Small,Mississippi
176628,Avila University,14507,8594,34552.66667,1-000 - 4-999,Private not-for-profit,Large,Missouri
176664,Baptist Bible College and Graduate School,4950,5592,15693.33333,Under 1-000,Private not-for-profit,Midsize,Missouri
176789,Calvary Bible College and Theological Seminary,4928,6343,19754.33333,Under 1-000,Private not-for-profit,Large,Missouri
176938,Central Bible College,4836,6690,18014,Under 1-000,Private not-for-profit,Midsize,Missouri
177038,Cleveland Chiropractic College,6174,15951,29380,Under 1-000,Private not-for-profit,Midsize,Kansas
177065,Columbia College,7807,6660,19898.66667,10-000 - 19-999,Private not-for-profit,Midsize,Missouri
177162,DeVry University-Missouri,5199,7995,27297.5,1-000 - 4-999,Private for-profit,Large,Missouri
177214,Drury University,8606,4751,29671.66667,5-000 - 9-999,Private not-for-profit,Midsize,Missouri
177339,Evangel University,9071,7173,30706,1-000 - 4-999,Private not-for-profit,Midsize,Missouri
177551,Harris-Stowe State University,4966,3872,16178.66667,1-000 - 4-999,Public,Large,Missouri
177746,Kansas City Art Institute,17796,7202,42136,Under 1-000,Private not-for-profit,Large,Missouri
177940,Lincoln University,5478,5972,16498,1-000 - 4-999,Public,Small,Missouri
177968,Lindenwood University,8708,5672,29096.66667,10-000 - 19-999,Private not-for-profit,Small,Missouri
178208,Midwestern Baptist Theological Seminary,3251,4141,16288.33333,1-000 - 4-999,Private not-for-profit,Large,Missouri
178226,Westwood College-O'Hare Airport,6476,12952,28950,Under 1-000,Private for-profit,Large,Illinois
178341,Missouri Southern State University,6318,5032,14606.66667,5-000 - 9-999,Public,Small,Missouri
178350,Missouri Tech,4163,5500,25200,Under 1-000,Private for-profit,Small,Missouri
178387,Missouri Western State University,5708,5339,15697.33333,5-000 - 9-999,Public,Small,Missouri
178396,University of Missouri-Columbia,6645,6246,26139,20-000 and above,Public,Midsize,Missouri
178402,University of Missouri-Kansas City,5562,6202,29031.33333,10-000 - 19-999,Public,Large,Missouri
178679,Ozark Christian College,4980,5010,17723.33333,Under 1-000,Private not-for-profit,Small,Missouri
178989,Research College of Nursing,0,0,39600,Under 1-000,Private for-profit,Large,Missouri
179043,Rockhurst University,21135,6559,41513,1-000 - 4-999,Private not-for-profit,Large,Missouri
179159,Saint Louis University-Main Campus,17104,7171,48722,10-000 - 19-999,Private not-for-profit,Large,Missouri
179548,Stephens College,15424,5701,40350,1-000 - 4-999,Private not-for-profit,Midsize,Missouri
179566,Missouri State University-Springfield,5836,4507,19760,20-000 and above,Public,Midsize,Missouri
180179,Montana State University-Billings,4667,5351,18070.33333,5-000 - 9-999,Public,Midsize,Montana
180258,University of Great Falls,11756,9303,35302,1-000 - 4-999,Private not-for-profit,Small,Montana
180489,The University of Montana,4354,6035,22964.66667,10-000 - 19-999,Public,Small,Montana
180595,Rocky Mountain College,14019,6636,33030,1-000 - 4-999,Private not-for-profit,Midsize,Montana
180832,Clarkson College,3172,11773,22744.66667,1-000 - 4-999,Private not-for-profit,Large,Nebraska
180878,BryanLGH College of Health Sciences,3725,7458,21009,Under 1-000,Private not-for-profit,Large,Nebraska
181002,Creighton University,18472,7481,41319.33333,5-000 - 9-999,Private not-for-profit,Large,Nebraska
181093,Grace University,10524,5257,25480,Under 1-000,Private not-for-profit,Large,Nebraska
181297,Nebraska Methodist College of Nursing & Allied Health,6336,8281,21997.33333,Under 1-000,Private not-for-profit,Large,Nebraska
181394,University of Nebraska at Omaha,5457,5229,18976.66667,10-000 - 19-999,Public,Large,Nebraska
181446,Nebraska Wesleyan University,12088,6271,35728,1-000 - 4-999,Private not-for-profit,Large,Nebraska
181464,University of Nebraska-Lincoln,6257,5462,21564,20-000 and above,Public,Large,Nebraska
181604,College of Saint Mary,16523,6019,36406,1-000 - 4-999,Private not-for-profit,Large,Nebraska
181738,Union College,11962,4017,27986.66667,Under 1-000,Private not-for-profit,Large,Nebraska
182281,University of Nevada-Las Vegas,5220,4807,23315.66667,20-000 and above,Public,Midsize,Nevada
182290,University of Nevada-Reno,4595,7241,23741.33333,10-000 - 19-999,Public,Midsize,Nevada
182430,Morrison University,5098,9140,23961,Under 1-000,Private for-profit,Midsize,Nevada
182661,Daniel Webster College,4189,7399,29810,Under 1-000,Private for-profit,Small,New Hampshire
183026,Southern New Hampshire University,15500,10321,37112,10-000 - 19-999,Private not-for-profit,Midsize,New Hampshire
183071,University of New Hampshire at Manchester,4772,6066,28990,1-000 - 4-999,Public,Midsize,New Hampshire
183211,Rivier College,12665,9339,35249.33333,1-000 - 4-999,Private not-for-profit,Small,New Hampshire
185828,New Jersey Institute of Technology,13573,6293,30727.33333,5-000 - 9-999,Public,Large,New Jersey
186371,Rutgers University-Camden,8717,7482,29162.66667,5-000 - 9-999,Public,Small,New Jersey
186380,Rutgers University-New Brunswick,10836,8112,29647,20-000 and above,Public,Small,New Jersey
186399,Rutgers University-Newark,10679,7295,29437.33333,10-000 - 19-999,Public,Large,New Jersey
187046,Thomas Edison State College,0,0,10893.33333,20-000 and above,Public,Small,New Jersey
187985,University of New Mexico-Main Campus,5777,4705,20971.66667,20-000 and above,Public,Large,New Mexico
188146,Santa Fe University of Art and Design,15092,7034,40430,Under 1-000,Private for-profit,Small,New Mexico
188526,Albany College of Pharmacy and Health Sciences,9783,9928,37369.33333,1-000 - 4-999,Private not-for-profit,Small,New York
189097,Barnard College,32883,4203,49646.66667,1-000 - 4-999,Private not-for-profit,Large,New York
189228,Berkeley College-New York,9906,6304,36926.66667,5-000 - 9-999,Private for-profit,Large,New York
189264,Beth Hatalmud Rabbinical College,5706,0,17795,Under 1-000,Private not-for-profit,Large,New York
189273,Beth Hamedrash Shaarei Yosher Institute,6092,0,16363.33333,Under 1-000,Private not-for-profit,Large,New York
189705,Canisius College,22049,7080,40593,5-000 - 9-999,Private not-for-profit,Large,New York
189857,Central Yeshiva Tomchei Tmimim Lubavitz,5308,0,15763.33333,Under 1-000,Private not-for-profit,Large,New York
190114,Metropolitan College of New York,8091,7756,25552,1-000 - 4-999,Private not-for-profit,Large,New York
190150,Columbia University in the City of New York,37608,7208,59208,20-000 and above,Private not-for-profit,Large,New York
190372,Cooper Union for the Advancement of Science and Art,35161,4673,52476.66667,Under 1-000,Private not-for-profit,Large,New York
190415,Cornell University,30401,5521,52740.33333,20-000 and above,Private not-for-profit,Small,New York
190512,CUNY Bernard M Baruch College,7496,4585,21407.66667,10-000 - 19-999,Public,Large,New York
190549,CUNY Brooklyn College,6851,4503,18506.5,10-000 - 19-999,Public,Large,New York
190558,CUNY College of Staten Island,5791,4624,18430.5,10-000 - 19-999,Public,Large,New York
190567,CUNY City College,7200,4615,21124.66667,10-000 - 19-999,Public,Large,New York
190576,CUNY Graduate School and University Center,0,0,18282.5,5-000 - 9-999,Public,Large,New York
190594,CUNY Hunter College,6025,4785,19398,20-000 and above,Public,Large,New York
190600,CUNY John Jay College of Criminal Justice,7352,4554,18381.5,10-000 - 19-999,Public,Large,New York
190637,CUNY Lehman College,8028,4192,18430.5,10-000 - 19-999,Public,Large,New York
190664,CUNY Queens College,6672,4893,20826,20-000 and above,Public,Large,New York
190691,CUNY York College,7584,3573,18418.5,5-000 - 9-999,Public,Large,New York
190716,D'Youville College,13758,8359,32326.66667,1-000 - 4-999,Private not-for-profit,Large,New York
190983,Elmira College,25116,5426,49600,1-000 - 4-999,Private not-for-profit,Small,New York
191241,Fordham University,19513,7201,53723.66667,10-000 - 19-999,Private not-for-profit,Large,New York
192040,Jewish Theological Seminary of America,20848,6574,30335,Under 1-000,Private not-for-profit,Large,New York
192110,The Juilliard School,23174,5741,50672,Under 1-000,Private not-for-profit,Large,New York
192271,LIM College,5956,8092,38575,1-000 - 4-999,Private for-profit,Large,New York
192323,Le Moyne College,17326,8021,42000,1-000 - 4-999,Private not-for-profit,Midsize,New York
192439,Long Island University-Brooklyn Campus,15901,6442,45892.66667,5-000 - 9-999,Private not-for-profit,Large,New York
192624,Machzikei Hadath Rabbinical College,7680,0,19495,Under 1-000,Private not-for-profit,Large,New York
192703,Manhattan College,15790,7891,40580,1-000 - 4-999,Private not-for-profit,Large,New York
192712,Manhattan School of Music,20700,6182,46391,Under 1-000,Private not-for-profit,Large,New York
192864,Marymount Manhattan College,10897,6585,40628,1-000 - 4-999,Private not-for-profit,Large,New York
192925,Medaille College,14617,6192,32779.33333,1-000 - 4-999,Private not-for-profit,Large,New York
193052,Mesivta Torah Vodaath Rabbinical Seminary,6630,0,18446.66667,Under 1-000,Private not-for-profit,Large,New York
193061,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,6549,0,18671.66667,Under 1-000,Private not-for-profit,Large,New York
193070,Mesivtha Tifereth Jerusalem of America,5488,0,12533.33333,Under 1-000,Private not-for-profit,Large,New York
193247,Mirrer Yeshiva Cent Institute,6503,0,12600,Under 1-000,Private not-for-profit,Large,New York
193353,Mount Saint Mary College,12783,6222,33633.33333,1-000 - 4-999,Private not-for-profit,Small,New York
193399,College of Mount Saint Vincent,16874,6192,37610,1-000 - 4-999,Private not-for-profit,Large,New York
193654,The New School,15211,8089,52522.33333,10-000 - 19-999,Private not-for-profit,Large,New York
193900,New York University,18620,6801,53630.66667,20-000 and above,Private not-for-profit,Large,New York
194116,New York School of Interior Design,14765,10812,38774,Under 1-000,Private not-for-profit,Large,New York
194310,Pace University-New York,23268,7441,48311.33333,10-000 - 19-999,Private not-for-profit,Large,New York
194541,Polytechnic Institute of New York University,23534,6394,49123.33333,1-000 - 4-999,Private not-for-profit,Large,New York
194578,Pratt Institute-Main,15918,7125,51350,1-000 - 4-999,Private not-for-profit,Large,New York
194657,Rabbinical Academy Mesivta Rabbi Chaim Berlin,9114,0,20580,Under 1-000,Private not-for-profit,Large,New York
194666,Rabbinical College Bobover Yeshiva Bnei Zion,6047,0,15926.66667,Under 1-000,Private not-for-profit,Large,New York
194675,Rabbinical College of Ch'san Sofer New York,6765,0,20450,Under 1-000,Private not-for-profit,Large,New York
194718,Rabbinical Seminary M'kor Chaim,5669,0,13650,Under 1-000,Private not-for-profit,Large,New York
194763,Rabbinical Seminary of America,8523,0,18300,Under 1-000,Private not-for-profit,Large,New York
194824,Rensselaer Polytechnic Institute,20778,9298,57179,5-000 - 9-999,Private not-for-profit,Small,New York
195030,University of Rochester,24622,6328,56760,10-000 - 19-999,Private not-for-profit,Midsize,New York
195128,The Sage Colleges,23129,6487,37700,1-000 - 4-999,Private not-for-profit,Small,New York
195173,St. Francis College,10714,5836,31883.33333,1-000 - 4-999,Private not-for-profit,Large,New York
195234,The College of Saint Rose,13838,6241,35952,1-000 - 4-999,Private not-for-profit,Small,New York
195544,Saint Joseph's College-New York,10410,5387,25625,5-000 - 9-999,Private not-for-profit,Large,New York
195809,St John's University-New York,19977,6577,48974.33333,20-000 and above,Private not-for-profit,Large,New York
196060,SUNY at Albany,6912,5970,19610,10-000 - 19-999,Public,Small,New York
196103,SUNY College of Environmental Science and Forestry,4416,5788,20014,1-000 - 4-999,Public,Midsize,New York
196130,SUNY College at Buffalo,6508,5915,19538.33333,10-000 - 19-999,Public,Large,New York
196291,SUNY Maritime College,5567,7139,20720.33333,1-000 - 4-999,Public,Large,New York
196413,Syracuse University,23966,7885,53790,20-000 and above,Private not-for-profit,Midsize,New York
196431,Talmudical Seminary Oholei Torah,5830,0,17096.66667,Under 1-000,Private not-for-profit,Large,New York
196440,Talmudical Institute of Upstate New York,0,0,13000,Under 1-000,Private not-for-profit,Midsize,New York
196583,Torah Temimah Talmudical Seminary,3451,0,19280,Under 1-000,Private not-for-profit,Large,New York
196592,Touro College,14411,3500,23848,10-000 - 19-999,Private not-for-profit,Large,New York
196866,Union College,26947,5609,56050,1-000 - 4-999,Private not-for-profit,Small,New York
197018,United Talmudical Seminary,5620,0,17179,1-000 - 4-999,Private not-for-profit,Large,New York
197045,Utica College,17297,11790,40352.66667,1-000 - 4-999,Private not-for-profit,Small,New York
197151,School of Visual Arts,9695,10350,47416.66667,1-000 - 4-999,Private for-profit,Large,New York
197197,Wagner College,17890,7494,45785.66667,1-000 - 4-999,Private not-for-profit,Large,New York
197601,Yeshiva Karlin Stolin,6804,0,17266.66667,Under 1-000,Private not-for-profit,Large,New York
197610,Yeshivat Mikdash Melech,7857,0,17663.33333,Under 1-000,Private not-for-profit,Large,New York
197647,Yeshiva Derech Chaim,7848,0,19330,Under 1-000,Private not-for-profit,Large,New York
197692,Yeshiva Shaar Hatorah,5734,0,15850,Under 1-000,Private not-for-profit,Large,New York
197708,Yeshiva University,25753,6806,50330,5-000 - 9-999,Private not-for-profit,Large,New York
197993,Bennett College for Women,8391,12196,24920,Under 1-000,Private not-for-profit,Large,North Carolina
198419,Duke University,32271,4150,57325,10-000 - 19-999,Private not-for-profit,Midsize,North Carolina
198464,East Carolina University,7552,6084,20281,20-000 and above,Public,Small,North Carolina
198543,Fayetteville State University,7918,4460,13924.33333,5-000 - 9-999,Public,Midsize,North Carolina
198598,Greensboro College,15793,7855,32603.33333,1-000 - 4-999,Private not-for-profit,Large,North Carolina
198613,Guilford College,16737,7475,42585,1-000 - 4-999,Private not-for-profit,Large,North Carolina
198695,High Point University,8087,7994,40100,1-000 - 4-999,Private not-for-profit,Midsize,North Carolina
198747,Laurel University,5414,6250,17708,Under 1-000,Private not-for-profit,Midsize,North Carolina
198756,Johnson C Smith University,13060,7154,27076,1-000 - 4-999,Private not-for-profit,Large,North Carolina
198835,Lenoir-Rhyne University,18951,5393,36780.66667,1-000 - 4-999,Private not-for-profit,Small,North Carolina
198950,Meredith College,18697,10424,35620,1-000 - 4-999,Private not-for-profit,Large,North Carolina
198969,Methodist University,14548,6955,43915,1-000 - 4-999,Private not-for-profit,Midsize,North Carolina
199102,North Carolina A & T State University,8124,5678,17565,10-000 - 19-999,Public,Large,North Carolina
199111,University of North Carolina at Asheville,6953,5001,18832.66667,1-000 - 4-999,Public,Small,North Carolina
199120,University of North Carolina at Chapel Hill,11341,5445,24766.66667,20-000 and above,Public,Small,North Carolina
199139,University of North Carolina at Charlotte,6945,5590,19388.33333,20-000 and above,Public,Large,North Carolina
199148,University of North Carolina at Greensboro,8287,5218,20150.33333,10-000 - 19-999,Public,Large,North Carolina
199157,North Carolina Central University,9618,5828,17963.33333,5-000 - 9-999,Public,Midsize,North Carolina
199184,University of North Carolina School of the Arts,7723,7492,20151.66667,Under 1-000,Public,Midsize,North Carolina
199193,North Carolina State University at Raleigh,9508,5317,21940.66667,20-000 and above,Public,Large,North Carolina
199209,North Carolina Wesleyan College,9115,6139,35570,1-000 - 4-999,Private not-for-profit,Small,North Carolina
199218,University of North Carolina at Wilmington,6367,5619,18639,10-000 - 19-999,Public,Midsize,North Carolina
199272,William Peace University,17843,6218,36829.33333,Under 1-000,Private not-for-profit,Large,North Carolina
199315,Piedmont International University,5380,6239,20503.33333,Under 1-000,Private not-for-profit,Midsize,North Carolina
199412,Queens University of Charlotte,15665,5604,38724,1-000 - 4-999,Private not-for-profit,Large,North Carolina
199582,Saint Augustines College,5017,3916,30060,1-000 - 4-999,Private not-for-profit,Large,North Carolina
199607,Salem College,22123,5409,32676.33333,1-000 - 4-999,Private not-for-profit,Midsize,North Carolina
199643,Shaw University,7683,6910,23819.33333,1-000 - 4-999,Private not-for-profit,Large,North Carolina
199847,Wake Forest University,22950,7429,56236,5-000 - 9-999,Private not-for-profit,Midsize,North Carolina
199971,Carolina Christian College,6446,5688,11863,Under 1-000,Private not-for-profit,Midsize,North Carolina
199999,Winston-Salem State University,8620,5551,16738,5-000 - 9-999,Public,Midsize,North Carolina
200280,University of North Dakota,4201,7968,21983.66667,10-000 - 19-999,Public,Small,North Dakota
200332,North Dakota State University-Main Campus,4411,7429,21967.33333,10-000 - 19-999,Public,Midsize,North Dakota
200800,University of Akron Main Campus,6002,6560,22905.33333,20-000 and above,Public,Midsize,Ohio
201061,Art Academy of Cincinnati,12389,5551,31496.66667,Under 1-000,Private not-for-profit,Large,Ohio
201645,Case Western Reserve University,24904,7532,54133,5-000 - 9-999,Private not-for-profit,Large,Ohio
201858,Cincinnati Christian University,7070,5150,24056.66667,1-000 - 4-999,Private not-for-profit,Large,Ohio
201885,University of Cincinnati-Main Campus,7287,5743,28409,20-000 and above,Public,Large,Ohio
202046,Cleveland Institute of Art,17578,7474,48359.66667,Under 1-000,Private not-for-profit,Large,Ohio
202073,Cleveland Institute of Music,20632,5712,58242,Under 1-000,Private not-for-profit,Large,Ohio
202134,Cleveland State University,7063,5888,23004,10-000 - 19-999,Public,Large,Ohio
202170,Columbus College of Art and Design,15683,6734,39165.33333,1-000 - 4-999,Private not-for-profit,Large,Ohio
202480,University of Dayton,15426,7850,44090,10-000 - 19-999,Private not-for-profit,Midsize,Ohio
202541,DeVry University-Ohio,5638,8604,27297.5,1-000 - 4-999,Private for-profit,Large,Ohio
202806,Franklin University,4458,6188,20660,5-000 - 9-999,Private not-for-profit,Large,Ohio
202903,Gods Bible School and College,4481,3496,16706.66667,Under 1-000,Private not-for-profit,Large,Ohio
203775,Malone University,14749,6507,31443.33333,1-000 - 4-999,Private not-for-profit,Small,Ohio
203845,Marietta College,17700,8212,41200,1-000 - 4-999,Private not-for-profit,Small,Ohio
204015,Miami University-Middletown,4771,5951,19740,1-000 - 4-999,Public,Small,Ohio
204176,Mount Carmel College of Nursing,3293,8015,27199.33333,Under 1-000,Private not-for-profit,Large,Ohio
